Release,Date,Release Type
0.5.0,"2015, 11, 8",Major
0.6.0,"2015, 12, 9",Minor
v0.6.0,"2016, 2, 10",Major
v0.7.0,"2016, 2, 16",Minor
v0.7.1,"2016, 2, 19",Patch
v0.8.0,"2016, 4, 22",Minor
v0.9.0,"2016, 6, 21",Minor
v0.10.0,"2016, 9, 8",Minor
v0.11.0,"2016, 11, 9",Minor
v0.12.0,"2016, 12, 19",Minor
0.12.1,"2016, 12, 25",Major
v1.0.0-alpha,"2017, 1, 9",Major
v1.0.0,"2017, 2, 10",Patch
v1.0.1,"2017, 3, 7",Patch
v1.1.0,"2017, 4, 20",Minor
v1.2.0,"2017, 6, 14",Minor
v1.2.1,"2017, 6, 29",Patch
v1.3.0,"2017, 8, 16",Minor
v1.3.1,"2017, 9, 26",Patch
v1.4.0,"2017, 11, 1",Minor
v1.4.1,"2017, 12, 8",Patch
v1.5.0,"2018, 1, 25",Minor
v1.6.0,"2018, 2, 28",Minor
v1.5.1,"2018, 3, 20",Minor
v1.7.0,"2018, 3, 28",Minor
v1.8.0,"2018, 4, 27",Minor
tflite-v0.1.7,"2018, 4, 27",Major
v1.7.1,"2018, 5, 4",Major
v1.9.0,"2018, 7, 9",Minor
v1.10.0,"2018, 8, 7",Minor
v1.10.1,"2018, 8, 23",Patch
v1.11.0,"2018, 9, 25",Minor
v1.12.0,"2018, 11, 1",Minor
v1.13.1,"2019, 2, 25",Minor
v2.0.0-alpha0,"2019, 3, 5",Major
v1.12.1,"2019, 4, 18",Major
v1.12.2,"2019, 4, 18",Patch
v2.0.0-beta0,"2019, 6, 7",Major
v2.0.0-beta1,"2019, 6, 13",Patch
v1.14.0,"2019, 6, 18",Major
v1.12.3,"2019, 6, 21",Minor
v1.13.2,"2019, 7, 15",Minor
v2.0.0,"2019, 9, 27",Major
v1.15.0,"2019, 10, 14",Major
v2.1.0,"2020, 1, 7",Major
v2.0.1,"2020, 1, 22",Minor
v1.15.2,"2020, 1, 26",Major
v2.2.0,"2020, 5, 5",Major
v2.0.2,"2020, 5, 12",Minor
v2.1.1,"2020, 5, 14",Minor
v1.15.3,"2020, 5, 14",Major
v2.3.0,"2020, 7, 23",Major
v1.15.4,"2020, 9, 21",Major
v2.0.3,"2020, 9, 21",Major
v2.2.1,"2020, 9, 21",Minor
v2.3.1,"2020, 9, 21",Minor
v2.1.2,"2020, 9, 23",Minor
v2.4.0,"2020, 12, 11",Minor
v1.15.5,"2021, 1, 4",Major
v2.0.4,"2021, 1, 4",Major
v2.1.3,"2021, 1, 4",Minor
v2.2.2,"2021, 1, 4",Minor
v2.3.2,"2021, 1, 4",Minor
v2.4.1,"2021, 1, 20",Minor
v2.5.0,"2021, 5, 12",Minor
v2.3.3,"2021, 6, 4",Minor
v2.1.4,"2021, 6, 8",Minor
v2.2.3,"2021, 6, 10",Minor
v2.4.2,"2021, 6, 11",Minor
v2.5.1,"2021, 8, 8",Minor
v2.6.0,"2021, 8, 9",Minor
v2.3.4,"2021, 8, 11",Minor
v2.4.3,"2021, 8, 11",Minor
v2.5.2,"2021, 10, 30",Minor
v2.4.4,"2021, 10, 30",Minor
v2.6.1,"2021, 10, 31",Minor
v2.7.0,"2021, 10, 31",Minor
v2.6.2,"2021, 11, 3",Minor
v2.6.3,"2022, 1, 29",Patch
v2.7.1,"2022, 1, 30",Minor
v2.5.3,"2022, 1, 30",Minor
v2.8.0,"2022, 1, 31",Minor
v2.7.2,"2022, 5, 12",Minor
v2.8.1,"2022, 5, 12",Minor
v2.6.4,"2022, 5, 13",Minor
v2.9.0,"2022, 5, 13",Minor
v2.7.3,"2022, 5, 20",Minor
v2.6.5,"2022, 5, 22",Minor
v2.8.2,"2022, 5, 22",Minor
v2.9.1,"2022, 5, 22",Minor
v2.7.4,"2022, 9, 1",Minor
v2.8.3,"2022, 9, 1",Minor
v2.9.2,"2022, 9, 1",Minor
v2.10.0,"2022, 9, 2",Minor
v2.10.1,"2022, 11, 14",Patch
v2.8.4,"2022, 11, 14",Minor
v2.9.3,"2022, 11, 14",Minor
v2.11.0,"2022, 11, 15",Minor
v2.11.1,"2023, 3, 16",Patch
v2.12.0,"2023, 3, 20",Minor
v2.12.1,"2023, 6, 27",Patch
v2.13.0,"2023, 6, 28",Minor
v2.13.1,"2023, 9, 12",Patch
v2.14.0,"2023, 9, 21",Minor
v2.15.0,"2023, 11, 10",Minor
v2.14.1,"2023, 11, 10",Minor
v2.16.1,"2024, 3, 5",Minor
v2.15.1,"2024, 3, 7",Minor
Latest,"2024, 4, 23",Major
